0,1,16,16
1,1,16,16
0,2,16,16
0,3,16,16
0,4,16,16
0,5,16,16
0,6,16,16
0,7,16,16
0,8,16,16
0,9,16,16
0,10,16,16
0,11,16,16
0,12,16,16
0,13,16,16
0,14,16,16
0,15,16,16
0,16,16,16
1,16,16,16
1,15,16,16
1,14,16,16
1,13,16,16
1,12,16,16
2,12,16,16
2,13,16,16
2,14,16,16
2,15,16,16
2,16,16,16
2,17,16,16
1,17,16,16
1,18,16,16
2,18,16,16
3,18,16,16
3,17,16,16
4,17,16,16
4,16,16,16
4,15,16,16
4,14,16,16
4,13,16,16
4,12,16,16
4,11,16,16
4,10,16,16
4,9,16,16
4,8,16,16
4,7,16,16
4,6,16,16
3,6,16,16
2,6,16,16
1,6,16,16
1,5,16,16
1,4,16,16
1,3,16,16
1,2,16,16
2,2,16,16
2,3,16,16
2,4,16,16
3,4,16,16
4,4,16,16
5,4,16,16
5,3,16,16
5,2,16,16
5,1,16,16
6,1,16,16
6,2,16,16
6,3,16,16
6,4,16,16
6,5,16,16
7,5,16,16
7,4,16,16
8,4,16,16
8,5,16,16
9,5,16,16
10,5,16,16
10,4,16,16
11,4,16,16
11,5,16,16
11,6,16,16
11,7,16,16
11,8,16,16
11,9,16,16
12,9,16,16
12,8,16,16
12,7,16,16
12,6,16,16
12,5,16,16
12,4,16,16
12,3,16,16
12,2,16,16
12,1,16,16
12,0,16,16
11,0,16,16
10,0,16,16
9,0,16,16
8,0,16,16
7,0,16,16
6,0,16,16
5,0,16,16
4,0,16,16
3,0,16,16
2,0,16,16
1,0,16,16
1,1,16,16
0,1,16,16
0,2,16,16
0,3,16,16
0,4,16,16
0,5,16,16
0,6,16,16
0,7,16,16
0,8,16,16
0,9,16,16
0,10,16,16
0,11,16,16
0,12,16,16
0,13,16,16
0,14,16,16
0,15,16,16
0,16,16,16
0,17,16,16
0,18,16,16
0,19,16,16
0,20,16,16
0,21,16,16
0,22,16,16
0,23,16,16
0,24,16,16
0,25,16,16
0,26,16,16
0,27,16,16
0,28,16,16
0,29,16,16
0,30,16,16
1,30,16,16
1,29,16,16
1,28,16,16
1,27,16,16
1,26,16,16
1,25,16,16
1,24,16,16
1,23,16,16
2,23,16,16
2,22,16,16
1,22,16,16
2,23,16,16
1,23,16,16
1,24,16,16
2,24,16,16
2,25,16,16
2,26,16,16
2,27,16,16
2,28,16,16
2,29,16,16
3,29,16,16
4,29,16,16
5,29,16,16
6,29,16,16
7,29,16,16
7,30,16,16
8,30,16,16
8,29,16,16
9,29,16,16
8,30,16,16
9,30,16,16
7,30,16,16
6,30,16,16
5,30,16,16
4,30,16,16
3,30,16,16
2,30,16,16
2,31,16,16
3,31,16,16
4,31,16,16
5,31,16,16
6,31,16,16
7,31,16,16
8,31,16,16
9,31,16,16
10,31,16,16
11,31,16,16
12,31,16,16
13,31,16,16
14,31,16,16
15,31,16,16
16,31,16,16
17,31,16,16
18,31,16,16
19,31,16,16
20,31,16,16
21,31,16,16
22,31,16,16
23,31,16,16
24,31,16,16
25,31,16,16
26,31,16,16
27,31,16,16
28,31,16,16
29,31,16,16
30,31,16,16
30,30,16,16
31,30,16,16
31,29,16,16
31,28,16,16
31,27,16,16
31,26,16,16
31,25,16,16
31,24,16,16
31,23,16,16
31,22,16,16
31,21,16,16
31,20,16,16
